"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","ResponseID","LocationID","TopicID","QuestionID","DataValueTypeID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2021,2021,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.2",3.2,NA,NA,2.5,4,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (144.793731 13.444304)",NA,"66","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2017,2017,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.2",4.2,NA,NA,3.7,4.6,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2011,2011,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","2.5",2.5,NA,NA,1.4,3.5,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2017,2017,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","6.1",6.1,NA,NA,3.4,8.9,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2014,2014,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.1",3.1,NA,NA,1.8,4.3,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2014,2014,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","7.3",7.3,NA,NA,4.6,10.1,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2014,2014,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","2.9",2.9,NA,NA,1.8,4.1,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","OTH",NA,NA,NA,NA
2013,2013,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.6",4.6,NA,NA,2.8,6.3,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2016,2016,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.0",4,NA,NA,3.6,4.4,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
2019,2019,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","5.4",5.4,NA,NA,5,5.9,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2021,2021,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (144.793731 13.444304)",NA,"66","MTH","MTH1_0","AGEADJMEAN","RACE","BLK",NA,NA,NA,NA
2011,2011,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","5.0",5,NA,NA,3,7,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2015,2015,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.4",3.4,NA,NA,3.1,3.8,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2019,2019,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.7",3.7,NA,NA,1.8,5.6,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (144.793731 13.444304)",NA,"66","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2019,2019,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.0",4,NA,NA,2.9,5.2,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2020,2020,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.3",4.3,NA,NA,3,5.6,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2018,2018,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","1.9",1.9,NA,NA,1.3,2.4,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2016,2016,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.1",3.1,NA,NA,1.6,4.5,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","OTH",NA,NA,NA,NA
2013,2013,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.8",3.8,NA,NA,3.4,4.1,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2011,2011,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.0",4,NA,NA,3.6,4.3,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2012,2012,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","OTH",NA,NA,NA,NA
2021,2021,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.2",3.2,NA,NA,2.1,4.3,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (144.793731 13.444304)",NA,"66","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2019,2019,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","6.6",6.6,NA,NA,4.2,8.9,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2021,2021,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.7",3.7,NA,NA,2.8,4.7,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2014,2014,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","6.2",6.2,NA,NA,3.5,8.9,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2011,2011,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.8",3.8,NA,NA,2.5,5.2,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2015,2015,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.1",3.1,NA,NA,2,4.2,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2021,2021,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.5",3.5,NA,NA,2.6,4.3,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (144.793731 13.444304)",NA,"66","MTH","MTH1_0","MEAN","RACE","OTH",NA,NA,NA,NA
2011,2011,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","2.5",2.5,NA,NA,1.5,3.5,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2017,2017,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","1.2",1.2,NA,NA,0.7,1.8,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2012,2012,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2013,2013,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","2.2",2.2,NA,NA,1.4,3.1,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2017,2017,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.5",3.5,NA,NA,2.7,4.2,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2014,2014,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.8",3.8,NA,NA,2.7,4.9,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2013,2013,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.0",3,NA,NA,2.2,3.8,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2016,2016,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.3",3.3,NA,NA,2.3,4.4,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2018,2018,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.4",3.4,NA,NA,2.7,4.1,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2016,2016,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2020,2020,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.7",4.7,NA,NA,4.3,5.1,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
2021,2021,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.5",4.5,NA,NA,3.9,5.1,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2012,2012,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.7",3.7,NA,NA,2.3,5.1,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2015,2015,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.9",4.9,NA,NA,3,6.9,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2018,2018,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","5.5",5.5,NA,NA,3.6,7.3,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2014,2014,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.4",4.4,NA,NA,3.8,5.1,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2016,2016,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.2",4.2,NA,NA,3.7,4.6,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2018,2018,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.7",4.7,NA,NA,4.3,5,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2020,2020,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.2",4.2,NA,NA,3.6,4.8,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","BLK",NA,NA,NA,NA
2012,2012,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2014,2014,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.9",3.9,NA,NA,3.5,4.3,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2021,2021,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","6.2",6.2,NA,NA,4.2,8.2,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2012,2012,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.3",4.3,NA,NA,2.1,6.6,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
2021,2021,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (144.793731 13.444304)",NA,"66","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2020,2020,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.8",4.8,NA,NA,3,6.6,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2019,2019,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.3",3.3,NA,NA,2.3,4.3,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","OTH",NA,NA,NA,NA
2011,2011,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","5.3",5.3,NA,NA,2.9,7.7,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","MRC",NA,NA,NA,NA
2016,2016,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.6",3.6,NA,NA,3,4.1,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2012,2012,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.6",3.6,NA,NA,3.3,4,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","WHT",NA,NA,NA,NA
2018,2018,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.1",4.1,NA,NA,3.7,4.6,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2021,2021,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","5.3",5.3,NA,NA,3.1,7.4,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (144.793731 13.444304)",NA,"66","MTH","MTH1_0","AGEADJMEAN","RACE","HIS",NA,NA,NA,NA
2021,2021,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.4",3.4,NA,NA,2.1,4.6,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"POINT (144.793731 13.444304)",NA,"66","MTH","MTH1_0","MEAN","RACE","WHT",NA,NA,NA,NA
2016,2016,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.3",3.3,NA,NA,2.4,4.3,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2019,2019,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.3",4.3,NA,NA,3.6,5,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2012,2012,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.4",3.4,NA,NA,2.9,3.9,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","BLK",NA,NA,NA,NA
2018,2018,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.3",3.3,NA,NA,2.7,4,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2014,2014,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.8",3.8,NA,NA,2.6,4.9,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2011,2011,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.1",4.1,NA,NA,3.6,4.7,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2012,2012,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean",NA,NA,"-","No data available",NA,NA,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2013,2013,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.4",3.4,NA,NA,3,3.9,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","BLK",NA,NA,NA,NA
2018,2018,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.1",4.1,NA,NA,3.6,4.5,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","BLK",NA,NA,NA,NA
2016,2016,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","3.5",3.5,NA,NA,3,4.1,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","BLK",NA,NA,NA,NA
2021,2021,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","4.1",4.1,NA,NA,3.2,5,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2020,2020,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Mean","3.7",3.7,NA,NA,2.7,4.6,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","MEAN","RACE","HIS",NA,NA,NA,NA
2020,2020,"GA","Georgia","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","Age-adjusted Mean","4.8",4.8,NA,NA,3.3,6.3,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"POINT (-83.62758034599966 32.83968109300048)",NA,"13","MTH","MTH1_0","AGEADJMEAN","RACE","MRC",NA,NA,NA,NA
